rank;Number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;list
35;;Uncommon;;Octillery;Octillery;オクタン;Pokémon;Water;224;Kagemaru Himeno;dp2
36;;Rare;;Demanta;Mantine;マンタイン;Pokémon;Water;226;Masakazu Fukuda;dp2
37;;Common;;Barloche;Barboach;ドジョッチ;Pokémon;Water;339;Ken Sugimori;dp2
38;;Rare;;Barbicha;Whiscash;ナマズン;Pokémon;Water;340;Daisuke Ito;dp2
39;;Common;;Stalgamin;Snorunt;ユキワラシ;Pokémon;Water;361;Kagemaru Himeno;dp2
40;;Rare;;Oniglali;Glalie;オニゴーリ;Pokémon;Water;362;Mitsuhiro Arita;dp2
41;;Common;;Obalie;Spheal;タマザラシ;Pokémon;Water;363;Sumiyoshi Kizuki;dp2
42;;Uncommon;;Phogleur;Sealeo;トドグラー;Pokémon;Water;364;Kouki Saitou;dp2
43;;Rare;;Kaimorse;Walrein;トドゼルガ;Pokémon;Water;365;Midori Harada;dp2
44;;Common;;Mustébouée;Buizel;ケイコウオ;Pokémon;Water;418;Kenkichi Toyama;dp2
45;;Common;;Ecayon;Finneon;ネオラント;Pokémon;Water;456;Ken Sugimori;dp2
46;;Rare Holo;;Lumineon;Lumineon;ブイゼル;Pokémon;Water;457;Mitsuhiro Arita;dp2
47;;Common;;Pikachu;Pikachu;ピチュー;Pokémon;Lightning;25;Sumiyoshi Kizuki;dp2
48;;Rare Holo;;Raichu;Raichu;ピカチュウ;Pokémon;Lightning;26;Daisuke Ito;dp2
49;;Common;;Pichu;Pichu;ライチュウ;Pokémon;Lightning;172;Yuka Morii;dp2
50;;Common;;Dynavolt;Electrike;ラクライ;Pokémon;Lightning;309;Kouki Saitou;dp2
51;;Rare;;Elecsprint;Manectric;ライボルト;Pokémon;Lightning;310;Atsuko Nishida;dp2
52;;Common;;Lixy;Shinx;コリンク;Pokémon;Lightning;403;Lee HyunJung;dp2
53;;Ultra;Niv.X;Elekable Niv.X;Electivire;エレキブル;Pokémon;Lightning;466;Shizurow;dp2
54;;Common;;Nidoran F;Nidoran♀;ニドラン♀;Pokémon;Psychic;29;Ken Sugimori;dp2
55;;Uncommon;;Nidorina;Nidorina;ニドリーナ;Pokémon;Psychic;30;Atsuko Nishida;dp2
56;;Rare;;Nidoqueen;Nidoqueen;ニドクイン;Pokémon;Psychic;31;Kagemaru Himeno;dp2
57;;Common;;Nosférapti;Zubat;ズバット;Pokémon;Psychic;41;Ken Sugimori;dp2
58;;Uncommon;;Nosféralto;Golbat;ゴルバット;Pokémon;Psychic;42;Kazuyuki Kano;dp2
59;;Common;;Abra;Abra;クロバット;Pokémon;Psychic;63;Ken Sugimori;dp2
60;;Rare Holo;;Alakazam;Alakazam;ケーシィ;Pokémon;Psychic;65;Kouki Saitou;dp2
61;;Rare;;M. Mime;Mr. Mime;フーディン;Pokémon;Psychic;122;Kagemaru Himeno;dp2
62;;Rare;;Nostenfer;Crobat;バリヤード;Pokémon;Psychic;169;Masakazu Fukuda;dp2
63;;Rare;;Zarbi I;Unown I;アンノーン E;Pokémon;Psychic;201;Daisuke Ito;dp2
64;;Uncommon;;Zarbi E;Unown E;アンノーン I;Pokémon;Psychic;201;Daisuke Ito;dp2
65;;Uncommon;;Zarbi M;Unown M;アンノーン M;Pokémon;Psychic;201;Kazuyuki Kano;dp2
66;;Uncommon;;Zarbi T;Unown T;アンノーン T;Pokémon;Psychic;201;Kazuyuki Kano;dp2
67;;Rare;;Eoko;Chimecho;リーシャン;Pokémon;Psychic;358;Daisuke Ito;dp2
68;;Uncommon;;Korillon;Chingling;チリーン;Pokémon;Psychic;433;Emi Yoshida;dp2
69;;Common;;Cradopaud;Croagunk;グレッグル;Pokémon;Psychic;453;Ken Sugimori;dp2
70;;Rare;;Coatox;Toxicroak;ドクロッグ;Pokémon;Psychic;454;Daisuke Ito;dp2
71;;Rare Holo;;Crehelf;Uxie;ユクシー;Pokémon;Psychic;480;Ryo Ueda;dp2
72;;Rare Holo;;Crefollet;Mesprit;エムリット;Pokémon;Psychic;481;Ryo Ueda;dp2
73;;Rare Holo;;Crefadet;Azelf;アグノム;Pokémon;Psychic;482;Ryo Ueda;dp2
74;;Common;;Sabelette;Sandshrew;サンド;Pokémon;Fighting;27;Ken Sugimori;dp2
75;;Uncommon;;Sablaireau;Sandslash;サンドパン;Pokémon;Fighting;28;Atsuko Nishida;dp2
76;;Common;;Racaillou;Geodude;イシツブテ;Pokémon;Fighting;74;Ken Sugimori;dp2
77;;Uncommon;;Gravalanch;Graveler;ゴローン;Pokémon;Fighting;75;Mitsuhiro Arita;dp2
78;;Rare;;Simularbre;Sudowoodo;ウソッキー;Pokémon;Fighting;185;Atsuko Nishida;dp2
79;;Common;;Embrylex;Larvitar;ヨーギラス;Pokémon;Fighting;246;Masakazu Fukuda;dp2
80;;Uncommon;;Ymphect;Pupitar;サナギラス;Pokémon;Fighting;247;Midori Harada;dp2
81;;Uncommon;;Kranidos;Cranidos;ズガイドス;Pokémon;Fighting;408;Mitsuhiro Arita;dp2
82;;Rare;;Charkos;Rampardos;ラムパルド;Pokémon;Fighting;409;Kazuyuki Kano;dp2
83;;Ultra;Niv.X;Lucario Niv.X;Lucario;ルカリオ;Pokémon;Fighting;448;Ryo Ueda;dp2
84;;Common;;Cornèbre;Murkrow;ヤミカラス;Pokémon;Darkness;198;Atsuko Nishida;dp2
85;;Rare Holo;;Tyranocif;Tyranitar;バンギラス;Pokémon;Darkness;248;Masakazu Fukuda;dp2
86;;Rare Holo;;Corboss;Honchkrow;ドンカラス;Pokémon;Darkness;430;Kazuyuki Kano;dp2
87;;Common;;Galekid;Aron;ココドラ;Pokémon;Metal;304;Yuka Morii;dp2
88;;Uncommon;;Galegon;Lairon;コドラ;Pokémon;Metal;305;Midori Harada;dp2
89;;Rare Holo;;Galeking;Aggron;ボスゴドラ;Pokémon;Metal;306;Kouki Saitou;dp2
90;;Uncommon;;Dinoclier;Shieldon;タテトプス;Pokémon;Metal;410;Kouki Saitou;dp2
91;;Rare;;Bastiodon;Bastiodon;トリデプス;Pokémon;Metal;411;Kazuyuki Kano;dp2
92;;Common;;Archeomire;Bronzor;ドーミラー;Pokémon;Metal;436;Ken Sugimori;dp2
93;;Rare Holo;;Archeodong;Bronzong;ドータクン;Pokémon;Metal;437;Daisuke Ito;dp2
94;;Common;;Doduo;Doduo;ドードー;Pokémon;Colorless;84;Ken Sugimori;dp2
95;;Uncommon;;Dodrio;Dodrio;ドードリオ;Pokémon;Colorless;85;Masakazu Fukuda;dp2
96;;Common;;Leveinard;Chansey;ラッキー;Pokémon;Colorless;113;Atsuko Nishida;dp2
97;;Common;;Capumain;Aipom;エイパム;Pokémon;Colorless;190;Kagemaru Himeno;dp2
98;;Uncommon;;Girafarig;Girafarig;キリンリキ;Pokémon;Colorless;203;Midori Harada;dp2
99;;Uncommon;;Insolourdo;Dunsparce;ノコッチ;Pokémon;Colorless;206;Midori Harada;dp2
100;;Common;;Teddiursa;Teddiursa;ヒメグマ;Pokémon;Colorless;216;Yuka Morii;dp2
101;;Rare;;Ursaring;Ursaring;リングマ;Pokémon;Colorless;217;Mitsuhiro Arita;dp2
102;;Rare Holo;;Leuphorie;Blissey;ハピナス;Pokémon;Colorless;242;Kagemaru Himeno;dp2
103;;Common;;Parecool;Slakoth;ナマケロ;Pokémon;Colorless;287;Yuka Morii;dp2
104;;Uncommon;;Vigoroth;Vigoroth;ヤルキモノ;Pokémon;Colorless;288;Masakazu Fukuda;dp2
105;;Rare;;Monaflemit;Slaking;ケッキング;Pokémon;Colorless;289;Kouki Saitou;dp2
106;;Common;;Keunotor;Bidoof;ビッパ;Pokémon;Colorless;399;Yusuke Ohmura;dp2
107;;Rare Holo;;Capidextre;Ambipom;エテボース;Pokémon;Colorless;424;Kouki Saitou;dp2
108;;Uncommon;;Ptiravi;Happiny;ピンプク;Pokémon;Colorless;440;Yuka Morii;dp2
109;;Common;;Griknot;Gible;フカマル;Pokémon;Colorless;443;Hiroki Fuchino;dp2
110;;Uncommon;;Carmache;Gabite;ガバイト;Pokémon;Colorless;444;Ken Sugimori;dp2
111;;Rare Holo;;Carchacrok;Garchomp;ガブリアス;Pokémon;Colorless;445;Kazuyuki Kano;dp2
112;;Uncommon;;La recherche d'Amelle;Bebe's Search;クイックボール;Trainer;NoColor;;Ken Sugimori;dp2
113;;Uncommon;;Sombre Ball;Dusk Ball;ダークボール;Trainer;NoColor;;Ryo Ueda;dp2
114;;Uncommon;;Excavateur de fossiles;Fossil Excavator;夜のメンテナンス;Trainer;NoColor;;Kanako Eo;dp2
115;;Uncommon;;Berge du lac;Lake Boundary;化石発掘員;Trainer;NoColor;;Ryo Ueda;dp2
116;;Uncommon;;Maintenance nocturne;Night Maintenance;ギンガ団の賭け;Trainer;NoColor;;Ryo Ueda;dp2
117;;Uncommon;;Rapide Ball;Quick Ball;ミズキの検索;Trainer;NoColor;;Ryo Ueda;dp2
118;;Uncommon;;La pari de l'équipe Galaxie;Team Galactic's Wager;湖の結界;Trainer;NoColor;;Ken Sugimori;dp2
119;;Common;;Fossile Armure;Armor Fossil;ずがいの化石;Trainer;NoColor;;Ryo Ueda;dp2
120;;Common;;Fossile Crâne;Skull Fossil;たての化石;Trainer;NoColor;;Ryo Ueda;dp2
121;;Uncommon;;Énergie Métal;Metal Energy;マルチエネルギー;Energy;NoColor;;Takumi Akabane;dp2
122;;Rare;;Énergies multiples;Multi Energy;悪エネルギー;Energy;NoColor;;Takumi Akabane;dp2
123;;Uncommon;;Énergie Obscurité;Darkness Energy;鋼エネルギー;Energy;NoColor;;Takumi Akabane;dp2
124;;;;;Grass Energy;;Energy;NoColor;;;dp2
125;;;;;Fire Energy;;Energy;NoColor;;;dp2
126;;;;;Water Energy;;Energy;NoColor;;;dp2
127;;;;;Lightning Energy;;Energy;NoColor;;;dp2
128;;;;;Psychic Energy;;Energy;NoColor;;;dp2
129;;;;;Fighting Energy;;Energy;NoColor;;;dp2
130;;;;;Darkness Energy;;Energy;NoColor;;;dp2
131;;;;;Metal Energy;;Energy;NoColor;;;dp2
