rank;number;en_name;jap_url;rarety_type;ultra_type;fr_name;super_type;energy;pokedex_number;artist;list
26;026/ADV-P;Groudon;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174406.jpg;;;;;;;;
27;027/ADV-P;Groudon;Ok;;;;;;;;
28;028/ADV-P;Meowth;Ok;;;;;;;;
29;029/ADV-P;Meowth;Ok;;;;;;;;
30;030/ADV-P;Whismur;Ok;;;;;;;;
31;031/ADV-P;Whismur;Ok;;;;;;;;
32;032/ADV-P;Flygon;Ok;;;;;;;;
33;033/ADV-P;Flygon;Ok;;;;;;;;
34;034/ADV-P;Absol;Ok;;;;;;;;
35;035/ADV-P;Absol;Ok;;;;;;;;
36;036/ADV-P;Ash's Treecko;Ok;;;;;;;;
37;037/ADV-P;May's Torchic;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174473.jpg;;;;;;;;
38;038/ADV-P;Brock's Mudkip;Ok;;;;;;;;
39;039/ADV-P;Butler's Kirlia;Ok;;;;;;;;
40;040/ADV-P;Forina's Absol;;;;;;;;;
41;041/ADV-P;Chimecho;;;;;;;;;
42;042/ADV-P;Multi Energy;;;;;;;;;
43;043/ADV-P;Oran Berry;;;;;;;;;
44;044/ADV-P;Metang;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174482.jpg;;;;;;;;
45;045/ADV-P;Beldum;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174288.jpg;;;;;;;;
46;046/ADV-P;Sceptile;;;;;;;;;
47;047/ADV-P;Blaziken;;;;;;;;;
48;048/ADV-P;Swampert;;;;;;;;;
49;049/ADV-P;Plusle;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174561.jpg;;;;;;;;
50;050/ADV-P;Minun;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174495.jpg;;;;;;;;
51;051/ADV-P;Bulbasaur;;;;;;;;;
52;052/ADV-P;Charmander;;;;;;;;;
53;053/ADV-P;Charmeleon;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174323.jpg;;;;;;;;
54;054/ADV-P;Charizard;;;;;;;;;
55;055/ADV-P;Squirtle;;;;;;;;;
56;056/ADV-P;Psyduck;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174586.jpg;;;;;;;;
57;057/ADV-P;Pikachu;;;;;;;;;
58;058/ADV-P;Raichu;;;;;;;;;
59;059/ADV-P;Slowpoke;;;;;;;;;
60;060/ADV-P;Cubone;;;;;;;;;
61;061/ADV-P;Jigglypuff;;;;;;;;;
62;062/ADV-P;Meowth;;;;;;;;;
63;063/ADV-P;Metang;;;;;;;;;
